area_mean_px,area_median_px,aspect_ratio_mean,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,ecc_mean,ecc_median,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
378.8,339.5,1.3334,0.078,90,312.1,125.9,112.6,0.9978,0.1182,0.5979,0.5819,IMG_5285.jpg,90.1,288413,0.98,319.2,1100,cellpose,0.688,825
396.1,396.0,1.2707,0.039,76,261.8,128.1,110.4,1.1302,0.1037,0.5655,0.5866,IMG_5286.jpg,94.7,290273,0.979,320.3,1100,cellpose,0.688,825
413.0,411.5,1.245,0.022,180,620.1,118.1,132.2,1.2494,0.2561,0.5623,0.5765,IMG_5287.jpg,106.2,290273,0.976,320.6,1100,cellpose,0.688,825
410.5,409.0,1.2297,0.027,111,382.4,118.7,131.9,1.0854,0.157,0.5399,0.5347,IMG_5288.jpg,89.2,290273,0.978,320.9,1100,cellpose,0.688,825
411.1,408.5,1.2034,0.0,92,316.9,124.0,126.7,1.0212,0.1303,0.5144,0.5127,IMG_5289.jpg,81.3,290273,0.98,320.7,1100,cellpose,0.688,825
468.4,463.5,1.3001,0.0,94,325.9,113.8,141.8,1.0461,0.1527,0.601,0.618,IMG_5290.jpg,84.0,288413,0.975,319.0,1100,cellpose,0.688,825
378.3,349.0,1.3814,0.122,49,167.7,137.7,102.7,0.9339,0.0634,0.6155,0.6606,IMG_5291.jpg,81.7,292201,0.978,321.6,1100,cellpose,0.688,825
272.2,267.0,1.3042,0.034,87,301.7,146.0,97.4,0.954,0.0821,0.5933,0.6135,IMG_5292.jpg,57.5,288413,0.974,319.4,1100,cellpose,0.688,825
365.0,354.0,1.199,0.0,50,173.4,130.5,118.2,0.9603,0.0633,0.4993,0.5089,IMG_5293.jpg,84.8,288413,0.981,319.2,1100,cellpose,0.688,825
395.1,371.0,1.2069,0.0,112,388.3,120.4,125.2,1.1646,0.1534,0.5118,0.5125,IMG_5294.jpg,112.3,288413,0.98,319.3,1100,cellpose,0.688,825
